name,row,column,x,y
11.png,0,2,410,180
11.png,1,0,275,229
11.png,1,1,372,242
11.png,1,2,402,244
11.png,2,0,266,296
11.png,2,1,297,299
11.png,2,2,395,310
110.png,0,0,281,165
110.png,0,1,318,168
110.png,0,2,409,179
110.png,1,0,274,228
110.png,1,1,363,240
110.png,1,2,400,244
110.png,2,0,265,295
110.png,2,1,303,299
110.png,2,2,388,309
1100.png,0,0,264,161
1100.png,0,1,349,164
1100.png,0,2,390,164
1100.png,1,0,261,226
1100.png,1,1,303,228
1100.png,1,2,389,229
1100.png,2,0,259,293
1100.png,2,1,346,295
1100.png,2,2,399,293
1101.png,0,0,263,161
1101.png,0,1,349,164
1101.png,0,2,390,164
1101.png,1,0,261,226
1101.png,1,1,303,228
1101.png,1,2,389,229
1101.png,2,0,258,293
1101.png,2,1,345,295
1101.png,2,2,386,294
1102.png,0,0,263,161
1102.png,0,1,349,164
1102.png,0,2,390,164
1102.png,1,0,261,226
1102.png,1,1,303,228
1102.png,1,2,389,229
1102.png,2,0,258,293
1102.png,2,1,345,295
1102.png,2,2,386,294
1103.png,0,0,263,161
1103.png,0,1,349,164
1103.png,0,2,390,164
1103.png,1,0,261,226
1103.png,1,1,303,228
1103.png,1,2,389,229
1103.png,2,0,258,293
1103.png,2,1,345,295
1103.png,2,2,386,294
1104.png,0,0,263,161
1104.png,0,1,349,164
1104.png,0,2,390,164
1104.png,1,0,261,226
1104.png,1,1,303,228
1104.png,1,2,389,229
1104.png,2,0,258,293
1104.png,2,1,345,295
1104.png,2,2,386,294
1105.png,0,0,263,161
1105.png,0,1,349,164
1105.png,0,2,390,164
1105.png,1,0,261,226
1105.png,1,1,304,228
1105.png,1,2,389,229
1105.png,2,0,259,293
1105.png,2,1,345,295
1105.png,2,2,386,294
1106.png,0,0,263,161
1106.png,0,1,349,164
